iter	Passed	Remaining
0	157	157359
1	172	86043
2	187	62156
3	199	49767
4	221	44059
5	247	40937
6	260	36912
7	278	34550
8	292	32215
9	307	30459
10	323	29095
11	335	27640
12	356	27092
13	372	26243
14	388	25535
15	403	24800
16	422	24405
17	434	23707
18	446	23030
19	455	22341
20	467	21803
21	478	21250
22	488	20770
23	498	20290
24	509	19855
25	520	19511
26	535	19294
27	548	19056
28	562	18819
29	574	18560
30	585	18301
31	597	18070
32	609	17855
33	619	17609
34	629	17355
35	639	17115
36	648	16887
37	657	16644
38	667	16446
39	680	16323
40	691	16181
41	704	16070
42	720	16039
43	735	15969
44	750	15933
45	763	15827
46	771	15650
47	781	15493
48	793	15393
49	804	15292
50	816	15184
51	832	15171
52	846	15133
53	861	15087
54	884	15196
55	900	15171
56	913	15120
57	928	15087
58	940	15002
59	953	14945
60	966	14882
61	980	14833
62	992	14760
63	1003	14679
64	1014	14587
65	1022	14470
66	1031	14370
67	1044	14319
68	1059	14299
69	1072	14246
70	1086	14212
71	1100	14182
72	1115	14160
73	1127	14103
74	1138	14036
75	1148	13960
76	1157	13877
77	1166	13793
78	1177	13728
79	1187	13653
80	1196	13573
81	1207	13512
82	1219	13468
83	1231	13430
84	1246	13412
85	1258	13375
86	1271	13345
87	1283	13298
88	1294	13246
89	1305	13203
90	1316	13147
91	1325	13083
92	1335	13022
93	1346	12978
94	1356	12926
95	1369	12900
96	1381	12857
97	1392	12817
98	1405	12792
99	1419	12772
100	1432	12746
101	1443	12706
102	1452	12651
103	1462	12601
104	1472	12555
105	1483	12515
106	1493	12463
107	1502	12408
108	1507	12322
109	1519	12297
110	1531	12269
111	1544	12247
112	1557	12224
113	1570	12203
114	1583	12186
115	1595	12155
116	1605	12113
117	1615	12072
118	1624	12025
119	1635	11990
120	1645	11951
121	1654	11908
122	1664	11869
123	1676	11846
124	1687	11813
125	1700	11792
126	1713	11780
127	1727	11770
128	1739	11746
129	1751	11721
130	1761	11685
131	1770	11642
132	1779	11603
133	1789	11563
134	1800	11534
135	1809	11496
136	1820	11468
137	1833	11451
138	1846	11435
139	1859	11425
140	1872	11409
141	1889	11417
142	1902	11400
143	1913	11375
144	1922	11338
145	1932	11302
146	1941	11266
147	1951	11232
148	1961	11202
149	1972	11179
150	1985	11161
151	1995	11134
152	2010	11128
153	2023	11114
154	2036	11103
155	2047	11078
156	2057	11049
157	2068	11021
158	2077	10991
159	2087	10959
160	2096	10925
161	2105	10893
162	2116	10868
163	2129	10855
164	2142	10841
165	2153	10820
166	2168	10814
167	2181	10805
168	2194	10791
169	2207	10777
170	2220	10762
171	2229	10730
172	2238	10699
173	2248	10673
174	2257	10642
175	2266	10612
176	2277	10590
177	2291	10582
178	2303	10566
179	2317	10557
180	2330	10543
181	2343	10532
182	2354	10512
183	2366	10492
184	2374	10461
185	2384	10435
186	2394	10410
187	2403	10379
188	2413	10354
189	2422	10328
190	2434	10311
191	2446	10297
192	2458	10279
193	2472	10273
